date,status_of_system,latitude,longitude,max_sustained_wind,central_pressure,,,,,,,,,,,,,
18530902,HU,15.7N,45.7W,90,,,,,,,,,,,,,,
18530902,HU,16.2N,47.3W,90,,,,,,,,,,,,,,
18530902,HU,16.7N,49.0W,100,,,,,,,,,,,,,,
18530902,HU,17.4N,51.0W,110,,,,,,,,,,,,,,
18530903,HU,18.2N,52.8W,120,,,,,,,,,,,,,,
18530903,HU,19.1N,54.6W,130,,,,,,,,,,,,,,
18530903,HU,19.7N,56.2W,130,924,,,,,,,,,,,,,
18530903,HU,20.7N,58.0W,130,,,,,,,,,,,,,,
18530904,HU,21.2N,59.9W,120,,,,,,,,,,,,,,
18530904,HU,22.0N,61.8W,120,,,,,,,,,,,,,,
18530904,HU,22.7N,63.7W,120,,,,,,,,,,,,,,
18530904,HU,23.4N,65.3W,120,,,,,,,,,,,,,,
18530905,HU,24.2N,67.1W,120,,,,,,,,,,,,,,
18530905,HU,25.0N,68.6W,120,,,,,,,,,,,,,,
18530905,HU,25.8N,70.1W,120,,,,,,,,,,,,,,
18530905,HU,26.6N,71.1W,120,,,,,,,,,,,,,,
18530906,HU,27.3N,72.0W,120,,,,,,,,,,,,,,
18530906,HU,28.2N,72.9W,120,,,,,,,,,,,,,,
18530906,HU,29.1N,73.5W,120,,,,,,,,,,,,,,
18530906,HU,30.2N,74.0W,120,,,,,,,,,,,,,,
18530907,HU,31.2N,74.3W,110,,,,,,,,,,,,,,
18530907,HU,32.5N,74.1W,110,,,,,,,,,,,,,,
18530907,HU,33.7N,73.9W,100,,,,,,,,,,,,,,
18530907,HU,34.9N,72.9W,100,,,,,,,,,,,,,,
18530908,HU,36.0N,71.6W,100,,,,,,,,,,,,,,
18530908,HU,36.8N,69.9W,100,,,,,,,,,,,,,,
18530908,HU,37.5N,67.9W,100,,,,,,,,,,,,,,
18530908,HU,38.2N,65.4W,100,,,,,,,,,,,,,,
18530909,HU,39.0N,62.3W,100,,,,,,,,,,,,,,
18530909,HU,39.9N,59.4W,90,,,,,,,,,,,,,,
18530909,HU,40.8N,56.8W,80,,,,,,,,,,,,,,
18530909,HU,41.9N,53.4W,70,,,,,,,,,,,,,,
18530910,HU,42.9N,49.5W,70,,,,,,,,,,,,,,
18530910,HU,43.9N,45.5W,70,,,,,,,,,,,,,,
18530910,HU,45.0N,41.2W,70,,,,,,,,,,,,,,
18530910,HU,46.2N,36.2W,70,,,,,,,,,,,,,,
18530908,HU,37.0N,53.0W,100,,,,,,,,,,,,,,
18530908,HU,38.0N,51.0W,100,,,,,,,,,,,,,,
18530908,HU,39.0N,49.0W,100,,,,,,,,,,,,,,
18530908,HU,40.0N,46.8W,100,,,,,,,,,,,,,,
18530909,HU,41.3N,44.0W,100,,,,,,,,,,,,,,
18530909,HU,42.5N,41.5W,100,,,,,,,,,,,,,,
18530909,HU,43.4N,39.3W,100,,,,,,,,,,,,,,
18530909,HU,44.5N,37.2W,100,,,,,,,,,,,,,,
18530910,HU,45.5N,34.7W,100,,,,,,,,,,,,,,
18530910,HU,46.3N,32.3W,100,,,,,,,,,,,,,,
18530910,HU,47.0N,30.0W,90,,,,,,,,,,,,,,
18530910,HU,48.0N,27.5W,90,,,,,,,,,,,,,,
18530921,TS,20.0N,95.0W,50,,,,,,,,,,,,,,
18530926,TS,25.8N,62.0W,50,,,,,,,,,,,,,,
18530926,TS,27.4N,62.5W,50,,,,,,,,,,,,,,
18530926,TS,29.0N,62.9W,50,,,,,,,,,,,,,,
18530926,TS,30.6N,63.2W,50,,,,,,,,,,,,,,
18530927,TS,32.9N,62.6W,60,,,,,,,,,,,,,,
18530927,TS,34.8N,61.3W,60,,,,,,,,,,,,,,
18530927,HU,36.0N,59.8W,70,,,,,,,,,,,,,,
18530927,HU,36.7N,58.4W,70,,,,,,,,,,,,,,
18530928,HU,36.8N,57.4W,70,,,,,,,,,,,,,,
18530928,HU,36.3N,56.7W,70,,,,,,,,,,,,,,
18530928,HU,35.5N,56.9W,70,,,,,,,,,,,,,,
18530928,HU,35.5N,57.0W,70,,,,,,,,,,,,,,
18530929,HU,35.4N,57.2W,70,,,,,,,,,,,,,,
18530929,HU,35.3N,57.4W,70,,,,,,,,,,,,,,
18530929,HU,35.3N,57.7W,70,,,,,,,,,,,,,,
18530929,HU,35.4N,57.9W,70,,,,,,,,,,,,,,
18530930,HU,35.5N,58.1W,70,,,,,,,,,,,,,,
18530930,HU,35.5N,58.2W,70,,,,,,,,,,,,,,
18530930,HU,35.8N,58.3W,70,,,,,,,,,,,,,,
18530930,HU,36.3N,58.0W,70,,,,,,,,,,,,,,
18531001,HU,37.0N,57.5W,70,,,,,,,,,,,,,,
18531001,HU,38.0N,56.8W,70,,,,,,,,,,,,,,
18530928,TS,15.0N,37.0W,50,,,,,,,,,,,,,,
18531019,HU,27.5N,78.5W,70,,,,,,,,,,,,,,
18531019,HU,28.0N,78.9W,70,,,,,,,,,,,,,,
18531019,HU,28.5N,79.3W,80,,,,,,,,,,,,,,
18531019,HU,28.9N,79.6W,80,,,,,,,,,,,,,,
18531020,HU,29.3N,79.9W,80,,,,,,,,,,,,,,
18531020,HU,29.7N,80.2W,80,,,,,,,,,,,,,,
18531020,HU,30.0N,80.5W,90,,,,,,,,,,,,,,
18531020,HU,30.3N,80.7W,90,,,,,,,,,,,,,,
18531021,HU,30.6N,80.9W,90,,,,,,,,,,,,,,
18531021,HU,30.9N,80.9W,90,,,,,,,,,,,,,,
18531021,HU,31.3N,80.6W,80,,,,,,,,,,,,,,
18531021,HU,31.7N,80.1W,80,,,,,,,,,,,,,,
18531022,HU,32.1N,79.4W,80,,,,,,,,,,,,,,
18531022,HU,32.5N,78.5W,80,,,,,,,,,,,,,,
18540625,TS,26.0N,92.5W,60,,,,,,,,,,,,,,
18540625,TS,26.0N,93.0W,60,,,,,,,,,,,,,,
18540625,HU,26.0N,93.5W,70,,,,,,,,,,,,,,
18540625,HU,26.0N,94.0W,70,,,,,,,,,,,,,,
18540626,HU,26.0N,94.7W,70,,,,,,,,,,,,,,
18540626,HU,26.1N,95.7W,70,,,,,,,,,,,,,,
18540626,HU,26.2N,97.0W,70,,,,,,,,,,,,,,
18540626,TS,26.4N,98.5W,50,,,,,,,,,,,,,,
18540627,TS,26.8N,100.0W,40,,,,,,,,,,,,,,
18540627,TS,27.4N,101.5W,40,,,,,,,,,,,,,,
18540627,TS,28.0N,103.0W,40,,,,,,,,,,,,,,
18540823,TS,33.0N,55.0W,60,,,,,,,,,,,,,,
18540907,HU,26.4N,76.6W,110,,,,,,,,,,,,,,
18540907,HU,27.2N,77.6W,110,,,,,,,,,,,,,,
18540907,HU,28.0N,78.6W,110,938,,,,,,,,,,,,,
18540907,HU,28.8N,79.6W,110,,,,,,,,,,,,,,
18540908,HU,29.6N,80.3W,110,,,,,,,,,,,,,,
18540908,HU,30.4N,80.6W,110,,,,,,,,,,,,,,
18540908,HU,31.1N,80.9W,100,,,,,,,,,,,,,,
18540908,HU,31.6N,81.1W,100,950,,,,,,,,,,,,,
18540908,HU,31.7N,81.1W,100,950,,,,,,,,,,,,,
18540909,HU,32.0N,81.3W,80,,,,,,,,,,,,,,
18540909,HU,32.5N,81.5W,70,,,,,,,,,,,,,,
18540909,TS,33.2N,81.5W,60,,,,,,,,,,,,,,
18540909,TS,34.3N,80.5W,50,,,,,,,,,,,,,,
18540910,TS,35.5N,78.1W,40,,,,,,,,,,,,,,
18540910,TS,36.8N,75.9W,40,,,,,,,,,,,,,,
18540910,TS,37.8N,74.0W,50,,,,,,,,,,,,,,
18540910,TS,38.4N,71.9W,60,,,,,,,,,,,,,,
18540911,HU,38.8N,69.5W,70,,,,,,,,,,,,,,
18540911,HU,39.0N,67.3W,80,,,,,,,,,,,,,,
18540911,HU,39.4N,65.0W,90,,,,,,,,,,,,,,
18540911,HU,39.5N,61.8W,90,,,,,,,,,,,,,,
18540912,HU,39.8N,58.3W,90,,,,,,,,,,,,,,
18540912,HU,40.0N,55.1W,90,,,,,,,,,,,,,,
18540912,HU,40.0N,52.0W,80,,,,,,,,,,,,,,
18540912,HU,40.2N,48.0W,80,,,,,,,,,,,,,,
18540918,HU,28.2N,93.6W,90,,,,,,,,,,,,,,
18540918,HU,28.4N,94.1W,90,,,,,,,,,,,,,,
18540918,HU,28.6N,94.6W,90,,,,,,,,,,,,,,
18540918,HU,28.8N,95.1W,90,,,,,,,,,,,,,,
18540918,HU,28.9N,95.3W,90,,,,,,,,,,,,,,
18540919,HU,29.0N,95.6W,80,,,,,,,,,,,,,,
18540919,HU,29.2N,96.1W,70,,,,,,,,,,,,,,
18540919,TS,29.4N,96.5W,60,,,,,,,,,,,,,,
18540919,TS,29.7N,96.6W,60,,,,,,,,,,,,,,
18540920,TS,30.0N,96.4W,50,,,,,,,,,,,,,,
18540920,TS,30.3N,96.0W,40,,,,,,,,,,,,,,
18541020,TS,25.0N,67.6W,50,,,,,,,,,,,,,,
18541020,TS,25.8N,67.6W,50,,,,,,,,,,,,,,
18541020,TS,26.7N,67.6W,50,,,,,,,,,,,,,,
18541020,TS,27.6N,67.5W,50,,,,,,,,,,,,,,
